Time[s], LCDData0, LCDData1, LCDData2, LCDData3, LCDRS, LCDE, LogAnStb
0.008756438, 0, 0, 1, 0, 1, 1, 1
0.008756938, 0, 0, 1, 0, 1, 0, 1
0.008811813, 0, 0, 1, 1, 1, 0, 1
0.008812125, 0, 0, 1, 1, 1, 1, 1
0.008812625, 0, 0, 1, 1, 1, 0, 1
0.008813937, 0, 0, 1, 0, 1, 0, 1
0.008814281, 0, 0, 1, 0, 1, 1, 1
0.008814781, 0, 0, 1, 0, 1, 0, 1
0.008869625, 1, 0, 1, 1, 1, 0, 1
0.008869969, 1, 0, 1, 1, 1, 1, 1
0.008870438, 1, 0, 1, 1, 1, 0, 1
0.008871781, 1, 1, 0, 1, 1, 0, 1
0.008872094, 1, 1, 0, 1, 1, 1, 1
0.008872594, 1, 1, 0, 1, 1, 0, 1
0.008927469, 0, 1, 0, 0, 1, 0, 1
0.008927813, 0, 1, 0, 0, 1, 1, 1
0.008928312, 0, 1, 0, 0, 1, 0, 1
0.008929625, 1, 0, 0, 0, 1, 0, 1
0.008929938, 1, 0, 0, 0, 1, 1, 1
0.008930438, 1, 0, 0, 0, 1, 0, 1
